year,value
1950,5.13
1951,5.34
1952,5.63
1953,5.9
1954,6.14
1955,6.37
1956,6.62
1957,6.89
1958,7.12
1959,7.27
1960,7.45
1961,7.66
1962,7.85
1963,8.06
1964,8.17
1965,8.33
1966,8.57
1967,8.81
1968,8.97
1969,9.13
1970,9.37
1971,9.49
1972,9.76
1973,9.96
1974,10.09
1975,10.39
1976,10.56
1977,10.69
1978,10.92
1979,11.03
1980,11.16
1981,11.34
1982,11.6
1983,11.89
1984,12.04
1985,12.23
1986,12.45
1987,12.65
1988,12.83
1989,12.93
1990,13.04
1991,13.34
1992,13.46
1993,13.6
1994,13.82
1995,14.09
1996,14.31
1997,14.43
1998,14.65
1999,14.86
2000,15.08
2001,15.37
2002,15.66
2003,15.84
2004,15.94
2005,16.19
2006,16.43
2007,16.69
2008,16.81
2009,16.93
2010,17.2
2011,17.35
2012,17.5
2013,17.64
2014,17.82
2015,18.04
2016,18.27
2017,18.43
2018,18.67
2019,18.95
2020,19.15
2021,19.26
2022,19.46
2023,19.73
