year,value
1880,-0.17
1881,-0.15
1882,-0.12
1883,-0.1
1884,-0.08
1885,-0.06
1886,-0.03
1887,-0.01
1888,0.02
1889,0.03
1890,0.06
1891,0.08
1892,0.11
1893,0.13
1894,0.15
1895,0.18
1896,0.2
1897,0.22
1898,0.25
1899,0.27
1900,0.29
1901,0.32
1902,0.35
1903,0.37
1904,0.39
1905,0.41
1906,0.44
1907,0.46
1908,0.48
1909,0.51
1910,0.54
1911,0.56
1912,0.59
1913,0.61
1914,0.62
1915,0.63
1916,0.65
1917,0.68
1918,0.7
1919,0.72
1920,0.73
1921,0.76
1922,0.77
1923,0.79
1924,0.8
1925,0.83
1926,0.86
1927,0.88
1928,0.9
1929,0.92
1930,0.94
1931,0.96
1932,0.99
1933,1.01
1934,1.03
1935,1.06
1936,1.08
1937,1.09
1938,1.1
1939,1.13
1940,1.14
1941,1.16
1942,1.17
1943,1.19
1944,1.22
1945,1.24
1946,1.26
1947,1.28
1948,1.3
1949,1.31
1950,1.33
1951,1.35
1952,1.37
1953,1.4
1954,1.41
1955,1.43
1956,1.44
1957,1.47
1958,1.49
1959,1.5
1960,1.53
1961,1.54
1962,1.57
1963,1.59
1964,1.62
1965,1.65
1966,1.68
1967,1.69
1968,1.72
1969,1.75
1970,1.77
1971,1.79
1972,1.8
1973,1.82
1974,1.85
1975,1.88
1976,1.89
1977,1.92
1978,1.94
1979,1.95
1980,1.97
1981,2.0
1982,2.02
1983,2.03
1984,2.06
1985,2.07
1986,2.1
1987,2.12
1988,2.15
1989,2.16
1990,2.19
1991,2.22
1992,2.24
1993,2.27
1994,2.28
1995,2.31
1996,2.32
1997,2.34
1998,2.37
1999,2.39
2000,2.41
2001,2.44
2002,2.45
2003,2.48
2004,2.49
2005,2.51
2006,2.52
2007,2.55
2008,2.56
2009,2.57
2010,2.6
2011,2.62
2012,2.64
2013,2.65
2014,2.67
2015,2.68
2016,2.69
2017,2.71
2018,2.74
2019,2.76
2020,2.78
2021,2.8
2022,2.83
2023,2.84
